Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),B. betiko aurrek.,Eskubide onartu garbiak,Bilketa likidoa,Kobratzeko,Itzulketak
2 112.01.000.00 2021,1.0,O.H.G.Z.LANDA-ONDASUNAK,,26000.0,26000.0,0.0,0.0,0.0,0.0
2 112.02.000.00 2021,2.0,O.H.F.Z.HIRI-ONDASUNAK,,3879500.0,3879500.0,0.0,0.0,0.0,0.0
2 113.01.000.00 2021,3.0,TRAKZIO MEKANIKODUN IBILGAILUEN,,1560500.0,1560500.0,1542526.9,0.0,1542526.9,0.0
2 114.01.000.00 2021,4.0,HIRI-LURREN BALIO GEHIKUNTZAREN ZERGA,,250000.0,250000.0,82439.04,0.0,82439.04,0.0
2 130.01.000.00 2021,5.0,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,,1118500.0,1118500.0,623.59,0.0,623.59,0.0
2 282.01.000.00 2021,7.0,ERAIKUNTZA-INSTALAZIO ZERGA-ICIO.,,250000.0,250000.0,33514.35,-1000.0,34514.35,1000.0
2 310.01.162.10 2021,917.0,ONDAKINAK BILKETA ETA TRATAMENDUA,,1484300.0,1484300.0,263600.89,0.0,263600.89,0.0
2 310.02.160.00 2021,918.0,SANEAMENDU,,665900.0,665900.0,258801.24,0.0,258801.24,0.0
2 310.03.164.00 2021,919.0,UDAL HILERRIA,,45000.0,45000.0,5904.0,0.0,5904.0,0.0
2 310.04.000.00 2021,349.0,AGIRIAK EGITEA,,1000.0,1000.0,300.0,0.0,300.0,0.0
2 310.05.000.00 2021,203.0,IBILGAILUAK BIDE PUBLIKOTIK JASO ETA KEN,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 310.08.136.00 2021,920.0,SU-ITZALTZE,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.09.161.00 2021,921.0,UR HORNIDURA,,1452100.0,1452100.0,527741.32,0.0,527741.32,0.0
2 310.11.335.10 2021,922.0,UDAL EUSKALTEGIA,,42000.0,42000.0,0.0,0.0,0.0,0.0
2 310.16.334.10 2021,923.0,BITERIKO TAILERRAK,,52000.0,52000.0,0.0,0.0,0.0,0.0
2 310.20.326.01 2021,924.0,MUSIKA ESKOLA PUBLIKOA,,105000.0,105000.0,0.0,0.0,0.0,0.0
2 310.21.326.02 2021,925.0,KANTUZ,,7000.0,7000.0,0.0,0.0,0.0,0.0
2 310.22.335.40 2021,926.0,UDALEKUAK,,28000.0,28000.0,0.0,0.0,0.0,0.0
2 310.23.000.00 2021,260.0,ANIMALI ARRISKUTSUEN ERREJISTROA,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.24.342.00 2021,927.0,KIROLDEGIKO ABONATUAK,,360000.0,360000.0,54168.2,54168.2,0.0,57.6
2 310.25.342.00 2021,928.0,KIROLDEGIKO SARRERAK,,1000.0,1000.0,182.35,182.35,0.0,0.0
2 310.26.342.00 2021,929.0,KIROLDEGIKO IGERIKETA IKASTAROAK,,53000.0,53000.0,4720.46,4720.46,0.0,10.7
2 310.27.342.00 2021,930.0,KIROLDEGIKO SQUASH-AREN ERABILPENA,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.28.342.00 2021,931.0,KIROLDEGIKO IKASTAROAK,,65000.0,65000.0,4415.6,4415.6,0.0,0.0
2 310.29.342.00 2021,932.0,KIROLDEG.PISTA ETA INSTALAZ.ERABILPENA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 310.30.342.00 2021,933.0,KIROLDEGIKO FRONTOIAREN ERABILPENA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 310.32.342.00 2021,935.0,KIROLDEGIKO SAUNAK,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 310.35.342.01 2021,937.0,AISIALDI ETA JOLASER.IGERILEK.ABONATUAK,,55000.0,55000.0,0.0,0.0,0.0,0.0
2 310.36.342.01 2021,938.0,AISIALDI ETA JOLASER.IGERILEK.SARRERAK,,36000.0,36000.0,0.0,0.0,0.0,0.0
2 310.37.342.00 2021,939.0,KIROLDEGIKO KARNETA BERRIAK,,1000.0,1000.0,70.35,70.35,0.0,0.0
2 311.01.000.00 2021,23.0,ESTABLEZIMENDUAK IREKITZEKO BAIMENA,,20000.0,20000.0,0.0,0.0,0.0,0.0
2 311.02.000.00 2021,24.0,AUTOTAXIEN LIZENTZIA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 312.01.000.00 2021,25.0,HIRIGINTZ BAIMENAK EMATEA,,75000.0,75000.0,14245.8,0.0,14245.8,0.0
2 312.02.000.00 2021,26.0,ESPEDIENTE URBANISTIKOEN BIDERATZEA,,100.0,100.0,0.0,0.0,0.0,0.0
2 312.03.000.00 2021,489.0,KARTOGRAFIA EGUNERATZEA,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 321.03.000.00 2021,28.0,"HESIAK, ALDAMIOAK, EDUKIONTZIAK",,27000.0,27000.0,3665.95,0.0,3665.95,0.0
2 321.04.000.00 2021,29.0,MAHAI ETA ESERLEKUAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 321.05.000.00 2021,30.0,"SALMENTA POSTUAK, BARRAKA, ETAB.",,1000.0,1000.0,360.0,0.0,360.0,0.0
2 321.09.000.00 2021,31.0,"LURZORUA,.HORNID-ZERB.ENPRESEN ALDE",,651000.0,651000.0,136707.92,0.0,136707.92,0.0
2 321.10.000.00 2021,11.0,FERIA,,37500.0,37500.0,0.0,0.0,0.0,0.0
2 321.11.000.00 2021,540.0,SARRERA KONTROLATZEKO TXARTELAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 321.13.000.00 2021,834.0,KUTXAZAIN AUTOMATIKOAK,,2500.0,2500.0,0.0,0.0,0.0,0.0
2 321.99.000.00 2021,32.0,BESTE TASAK.JARDUERARENTZAT,,15000.0,15000.0,0.0,0.0,0.0,0.0
2 322.01.000.00 2021,33.0,IBILGAILUEN SARRERA ESPALOI GAINETIK,,35500.0,35500.0,0.0,0.0,0.0,0.0
2 340.02.334.00 2021,940.0,IKUSKIZUNETARAKO SARRERAK,,5000.0,5000.0,1559.0,1559.0,0.0,0.0
2 340.03.323.30 2021,941.0,HAUR ESKOLAKO JANGELA,,35200.0,35200.0,0.0,0.0,0.0,0.0
2 340.04.231.00 2021,942.0,BERDINTASUNEKO IKASTAROAK,,1500.0,1500.0,0.0,0.0,0.0,0.0
2 380.01.000.00 2021,36.0,ITZULERAK:ITXITAKO AURREKONTUETAKOAK,,5000.0,5000.0,180.95,180.95,0.0,0.0
2 381.01.000.00 2021,596.0,ITZULERAK:PIBOTEETAKO KALTEAK,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 382.01.000.00 2021,597.0,ITZULERAK:BIDE PUBLIKOKO KALTEAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 391.01.000.00 2021,37.0,TRAFIKOZKO ISUNAK,,122000.0,122000.0,0.0,0.0,0.0,0.0
2 391.02.000.00 2021,38.0,HIRIGINTZAKO ISUNAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 391.03.000.00 2021,943.0,INGURUMENEKO ISUNAK,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 392.01.000.00 2021,39.0,PREMIAMENDU-ERREKARGUA,,50000.0,50000.0,-200.0,-200.0,0.0,200.0
2 393.01.000.00 2021,40.0,BERANDUTZA-INTERESAK,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 396.01.000.00 2021,41.0,KONPENTSAZIOA:CIA TELEFONICA,,51800.0,51800.0,0.0,0.0,0.0,0.0
2 396.02.000.00 2021,120.0,KONPENTSAZIOA:EUSKALTEL,,22000.0,22000.0,0.0,0.0,0.0,0.0
2 399.01.000.00 2021,42.0,BESTE HAINBAT SARRERA,,1000.0,1000.0,3555.12,3555.12,0.0,0.0
2 399.01.241.00 2021,1163.0,ITUROLA-COWORKING GUNEA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.02.000.00 2021,43.0,FOTOKOPIAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.03.000.00 2021,59.0,PARTIKULARREN IRAGARKIAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.05.323.30 2021,944.0,HAUR ESKOLAKO JANGELA(IRAKASLEAK),,5800.0,5800.0,0.0,0.0,0.0,0.0
2 399.06.000.00 2021,45.0,ARTXIBOKO ARGITALPENAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.12.162.10 2021,945.0,BIRZIKLATZEAREN ONDORIOZKO SARRERAK,,321600.0,321600.0,0.0,0.0,0.0,0.0
2 400.01.000.00 2021,47.0,ITUNDU GABEKO ZERGAK,,26000.0,26000.0,4226.12,4226.12,0.0,978.76
2 410.01.929.10 2021,946.0,DIRULAG.JAURLARITZA.BAKE EPAITEGIA,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 410.02.326.01 2021,947.0,DIRULAG.JAURLARITZA.MUSIKA ESKOLA,,161000.0,161000.0,0.0,0.0,0.0,0.0
2 410.03.332.10 2021,948.0,DIRULAG.JAURLARITZA.LIBURUTEGIA,,10500.0,10500.0,0.0,0.0,0.0,0.0
2 410.04.323.10 2021,1167.0,DIRULAG.JAURLARITZA.IKASTETXEAK,,1000.0,1000.0,35310.02,17655.01,17655.01,0.0
2 410.48.335.00 2021,950.0,DIRULAG.JAURLARITZA.EUSKARA-EBPN,,4000.0,4000.0,0.0,0.0,0.0,0.0
2 410.49.324.10 2021,951.0,DIRULAG.JAURLARITZA-HELDUEN LANBIDE PRES,,171000.0,171000.0,0.0,0.0,0.0,0.0
2 410.56.170.10 2021,1205.0,DIRULAG.JAURLARITZA.AGENDA 2030,,0.0,0.0,6250.0,2500.0,3750.0,0.0
2 411.01.335.10 2021,952.0,DIRULAG.HABE.EUSKALTEGIA.,,256000.0,256000.0,218505.74,95758.57,122747.17,0.0
2 411.07.241.02 2021,1159.0,LANBIDE:Toki Ekintzak,,173700.0,173700.0,174794.26,96136.84,78657.42,0.0
2 411.08.241.02 2021,953.0,LANBIDE.Andoaingo Udala.,,72500.0,72500.0,73584.41,73584.41,0.0,0.0
2 411.09.241.01 2021,954.0,LANBIDE:ikastaroak,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.01.000.00 2021,55.0,UFFF-ITUNDUTAKO TRIBUTUETAKO PARTAIDETZA,,13662000.0,13662000.0,0.0,0.0,0.0,0.0
2 420.02.335.00 2021,955.0,DIRULAG.ALDUNDIA.EUSKARA,,4000.0,4000.0,0.0,0.0,0.0,0.0
2 420.03.334.00 2021,956.0,DIRULAG.ALDUNDIA.KULTURA,,15500.0,15500.0,0.0,0.0,0.0,0.0
2 420.04.341.00 2021,957.0,DIRULAG.ALDUNDIA.KIROLAK,,20500.0,20500.0,0.0,0.0,0.0,0.0
2 420.08.172.30 2021,958.0,DIRULAG.ALDUNDIA.AGENDA21,,2700.0,2700.0,0.0,0.0,0.0,0.0
2 420.13.241.03 2021,959.0,DIRULAG.ALDUNDIA.ENPLEGU SUSTAPENA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.18.231.03 2021,1079.0,FORU ALDUNDIA.DIRULAG: GAZTERIA,,9000.0,9000.0,0.0,0.0,0.0,0.0
2 422.01.432.00 2021,1202.0,BETERRI-BURUNTZA,,0.0,0.0,0.0,0.0,0.0,0.0
2 422.02.241.00 2021,1071.0,ANDOAINGO UDALA-BETERRI-TOKIKO GARAPENA,,47500.0,47500.0,0.0,0.0,0.0,0.0
2 481.01.341.00 2021,960.0,DIRULAG.KIROL FEDERAZIOAK.,,2500.0,2500.0,0.0,0.0,0.0,0.0
2 540.02.000.00 2021,806.0,ALOKABIDE:etxebizitzen alokairua,,42000.0,42000.0,0.0,0.0,0.0,0.0
2 550.01.000.00 2021,64.0,ATSEGINDEGIKO GARAJEEN KANONA,,8000.0,8000.0,7652.61,0.0,7652.61,0.0
2 550.02.000.00 2021,764.0,BARATZA PARKEA.KANONA,,3000.0,3000.0,0.0,0.0,0.0,0.0
2 551.01.414.00 2021,961.0,BASO APROBETXAMENDUAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 553.01.342.00 2021,962.0,KIROLDEGIKO TABERNAREN USTIAKETA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 553.02.342.01 2021,963.0,IGERILEKUKO TABERNAREN USTIAKETA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 560.01.000.00 2021,61.0,GORDAILUEN INTERESEAK,,5000.0,5000.0,0.0,0.0,0.0,0.0
