Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr,Onar esk garbiak
2 130.01.000.00 2015 (968),968,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,2015,0.0,-751.6
2 310.09.000.00 2015 (966),966,UR HORNIDURA,2015,0.0,-325.3
2 410.09.000.00 2015 (965),965,E.J.: IVAPEN DIRULAG: FORMAKUNTZA,2015,0.0,-345.25
2 870.02.000.00 2015 (866),866,DIRUZAINTZA GERAKINA,2015,0.0,0.0
2 870.03.000.00 2015 (976),976,DIRUZAINTZA GERAKIN LOTUA,2015,0.0,0.0
2 112.01.000.00 2016 (1),1,O.H.G.Z.LANDA-ONDASUNAK,2016,22195.0,22291.33
2 112.02.000.00 2016 (2),2,O.H.F.Z.HIRI-ONDASUNAK,2016,3724200.0,3754019.69
2 113.01.000.00 2016 (3),3,TRAKZIO MEKANIKODUN IBILGAILUEN,2016,1436000.0,1466520.37
2 114.01.000.00 2016 (4),4,HIRI-LURREN BALIO GEHIKUNTZAREN ZERGA,2016,150000.0,283901.13
2 130.01.000.00 2016 (5),5,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,2016,835000.0,803951.38
2 282.01.000.00 2016 (7),7,"ERAIK.,INSTALAZ.ZERGA",2016,353000.0,411018.77
2 310.01.162.10 2016 (917),917,ONDAKINAK BILKETA ETA TRATAMENDUA,2016,857327.0,847943.92
2 310.02.160.00 2016 (918),918,SANEAMENDU,2016,601378.0,556816.92
2 310.03.164.00 2016 (919),919,UDAL HILERRIA,2016,27391.0,31462.26
2 310.04.000.00 2016 (349),349,AGIRIAK EGITEA,2016,100.0,2570.3
2 310.05.000.00 2016 (203),203,IBILGAILUAK BIDE PUBLIKOTIK JASO ETA KEN,2016,100.0,1013.8
2 310.08.136.00 2016 (920),920,SU-ITZALTZE,2016,100.0,0.0
2 310.09.161.00 2016 (921),921,UR HORNIDURA,2016,1362097.0,1349984.89
2 310.11.335.10 2016 (922),922,UDAL EUSKALTEGIA,2016,52000.0,57842.13
2 310.16.334.10 2016 (923),923,BITERIKO TAILERRAK,2016,57000.0,59658.65
2 310.20.326.01 2016 (924),924,MUSIKA ESKOLA PUBLIKOA,2016,129000.0,135444.48
2 310.21.326.02 2016 (925),925,KANTUZ,2016,7000.0,7293.11
2 310.22.335.40 2016 (926),926,UDALEKUAK,2016,37000.0,39392.02
2 310.23.000.00 2016 (260),260,ANIMALI ARRISKUTSUEN ERREJISTROA,2016,100.0,0.0
