#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2015,4245.0,ORDAINKETAK:GOBERNU ORGANOAK,78659.0,78659.0,0.0,95346.7,-16687.7,95346.7,95346.7,95346.7,95346.7,2015,91200,,1,,01
1 01.110.01.912.00 2015,4246.0,ALDI BAT.PERTS:GOBERNU ORGANOAK,97477.0,97477.0,0.0,112267.63,-14790.63,112267.63,112267.63,112267.63,112267.63,2015,91200,,1,,01
1 01.120.01.132.00 2015,4247.0,FUN.OINA.ORD:UDALTZAINGOA,375433.0,375433.0,0.0,318424.32,57008.68,318424.32,318424.32,318424.32,318424.32,2015,13200,,1,,01
1 01.120.01.150.00 2015,4248.0,FUN.OINA.ORD:HIRIGINTZA,114248.0,114248.0,0.0,84765.7,29482.3,84765.7,84765.7,84765.7,84765.7,2015,15000,,1,,01
1 01.120.01.153.40 2015,4249.0,FUN.OINA.ORD:OBRETAKO LANTALDEA,146735.0,146735.0,0.0,125037.09,21697.91,125037.09,125037.09,125037.09,125037.09,2015,15340,,1,,01
1 01.120.01.153.50 2015,4250.0,FUN.OINA.ORD:ZERBITZU PUBLIKOAK,28148.0,28148.0,0.0,31210.58,-3062.58,31210.58,31210.58,31210.58,31210.58,2015,15350,,1,,01
1 01.120.01.161.00 2015,4251.0,FUN.OINA.ORD:UR HORNIDURA,31163.0,31163.0,0.0,26090.89,5072.11,26090.89,26090.89,26090.89,26090.89,2015,16100,,1,,01
1 01.120.01.164.00 2015,4252.0,FUN.OINA.ORD:HILERRIA,8125.0,8125.0,0.0,7159.77,965.23,7159.77,7159.77,7159.77,7159.77,2015,16400,,1,,01
1 01.120.01.165.00 2015,4253.0,FUN.OINA.ORD:KALEKO ARGIKUNTZA,51117.0,51117.0,0.0,51019.5,97.5,51019.5,51019.5,51019.5,51019.5,2015,16500,,1,,01
1 01.120.01.170.00 2015,4254.0,FUN.OINA.ORD:INGURUGIROA,37134.0,37134.0,0.0,36531.52,602.48,36531.52,36531.52,36531.52,36531.52,2015,17000,,1,,01
1 01.120.01.171.00 2015,4255.0,FUN.OINA.ORD:PARKEAK ETA LORATEGIAK,14385.0,14385.0,0.0,14436.1,-51.1,14436.1,14436.1,14436.1,14436.1,2015,17100,,1,,01
1 01.120.01.230.02 2015,4256.0,FUN.OINA.ORD:LANKIDETZA,1767.0,1767.0,0.0,2124.12,-357.12,2124.12,2124.12,2124.12,2124.12,2015,23002,,1,,01
1 01.120.01.231.00 2015,4257.0,FUN.OINA.ORD:BERDINTASUNA,41695.0,41695.0,0.0,33796.89,7898.11,33796.89,33796.89,33796.89,33796.89,2015,23100,,1,,01
1 01.120.01.231.03 2015,4836.0,FUN.OINA.ORD: GAZTERIA.,0.0,0.0,0.0,4390.57,-4390.57,4390.57,4390.57,4390.57,4390.57,2015,23103,,1,,01
1 01.120.01.241.00 2015,4258.0,FUNTZ. OINARR.: TOKI GARAPENA,30750.0,30750.0,0.0,56413.85,-25663.85,56413.85,56413.85,56413.85,56413.85,2015,24100,,1,,01
1 01.120.01.323.00 2015,4259.0,FUN.OINA.ORD:IKASTETXEAK,31518.0,31518.0,0.0,37729.32,-6211.32,37729.32,37729.32,37729.32,37729.32,2015,32300,,1,,01
1 01.120.01.323.30 2015,4260.0,FUN.OINA.ORD:HAUR-ESKOLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,32330,,1,,01
1 01.120.01.326.01 2015,4261.0,FUN.OINA.ORD:MUSIKA ESKOLA,224579.0,224579.0,0.0,215374.25,9204.75,215374.25,215374.25,215374.25,215374.25,2015,32601,,1,,01
1 01.120.01.330.00 2015,4262.0,FUN.OINA.ORD:KULTURA ZERBITZUA,35927.0,35927.0,0.0,32268.13,3658.87,32268.13,32268.13,32268.13,32268.13,2015,33000,,1,,01
1 01.120.01.332.10 2015,4263.0,FUN.OINA.ORD:LIBURUTEGIA,82175.0,82175.0,0.0,77611.7,4563.3,77611.7,77611.7,77611.7,77611.7,2015,33210,,1,,01
1 01.120.01.333.00 2015,4264.0,FUN.OINA.ORD:KULTUR ETXEA,22501.0,22501.0,0.0,18836.93,3664.07,18836.93,18836.93,18836.93,18836.93,2015,33300,,1,,01
1 01.120.01.335.00 2015,4265.0,FUN.OINA.ORD:EUSKARA ZERBITZUA,52612.0,52612.0,0.0,54812.04,-2200.04,54812.04,54812.04,54812.04,54812.04,2015,33500,,1,,01
1 01.120.01.335.10 2015,4266.0,FUN.OINA.ORD:EUSKALTEGIA,133636.0,133636.0,0.0,131630.71,2005.29,131630.71,131630.71,131630.71,131630.71,2015,33510,,1,,01
1 01.120.01.335.30 2015,4267.0,FUN.OINA.ORD:EUSKARA PLANA,37002.0,37002.0,0.0,29396.15,7605.85,29396.15,29396.15,29396.15,29396.15,2015,33530,,1,,01
1 01.120.01.335.40 2015,4268.0,FUN.ORD.OSAG:UDALEKUAK,0.0,0.0,0.0,55687.18,-55687.18,55687.18,55687.18,55687.18,55687.18,2015,33540,,1,,01
1 01.120.01.342.00 2015,4269.0,FUN.OINA.ORD:KIROLDEGIA,171834.0,171834.0,0.0,168673.09,3160.91,168673.09,168673.09,168673.09,168673.09,2015,34200,,1,,01
1 01.120.01.342.01 2015,4270.0,FUN.OINA.ORD:IGERILEKUAK,7679.0,7679.0,0.0,0.0,7679.0,0.0,0.0,0.0,0.0,2015,34201,,1,,01
