#Subconcepto eco.,Descripción,Año,Programa,Departamento,Pto inicial,Aumentos,Disminuciones,Pto definitivo,Dchos rec. brutos,Dchos Anulados,Dchos rec. netos
93101,Préstamos recibidos a largo plazo,2015,00000,03,0.0,2119389.0,0.0,2119389.0,1815000.0,0.0,1815000.0
42002,Del territorio histórico,2016,32701,01,2000.0,0.0,0.0,2000.0,2230.2,0.0,2230.2
41001,Administración general,2016,32702,01,3000.0,0.0,0.0,3000.0,4140.17,1279.16,2861.01
42001,Participación en tributos concertados,2016,32702,01,10000.0,0.0,0.0,10000.0,8615.2,0.0,8615.2
41101,Organismos autónomos,2016,00000,02,8000.0,0.0,0.0,8000.0,18383.45,0.0,18383.45
82301,Anticipos del personal,2016,00000,02,90000.0,0.0,0.0,90000.0,71510.0,0.0,71510.0
41201,Entes públicos,2016,24100,02,387000.0,0.0,0.0,387000.0,108333.29,0.0,108333.29
11201,De naturaleza rústica,2016,00000,03,9000.0,0.0,0.0,9000.0,9159.11,0.0,9159.11
11202,De naturaleza urbana,2016,00000,03,6400000.0,0.0,0.0,6400000.0,6796873.62,751667.76,6045205.86
11301,Impuesto sobre vehículos de tracción mecánica,2016,00000,03,2280000.0,0.0,0.0,2280000.0,2238801.23,32040.83,2206760.4
11401,Impuesto s/incremento del valor de los terrenos de naturaleza urbana,2016,00000,03,500000.0,0.0,0.0,500000.0,752541.29,11012.7,741528.59
13001,Actividades empresariales,2016,00000,03,862000.0,0.0,0.0,862000.0,620346.76,14038.21,606308.55
38001,De presupuestos cerrados,2016,00000,03,0.0,0.0,0.0,0.0,70714.0,216460.42,-145746.42
39201,Recargo de apremio,2016,00000,03,161000.0,0.0,0.0,161000.0,189317.1,611.6,188705.5
39601,Compensaciones,2016,00000,03,149000.0,0.0,0.0,149000.0,134609.07,0.0,134609.07
39901,Otros ingresos diversos,2016,00000,03,20000.0,0.0,0.0,20000.0,284340.62,16452.26,267888.36
40001,Participación en impuestos no concertados,2016,00000,03,40000.0,0.0,0.0,40000.0,42640.82,977.21,41663.61
42001,Participación en tributos concertados,2016,00000,03,24425000.0,0.0,0.0,24425000.0,24626033.88,513338.2,24112695.68
54001,Producto del arrendamiento de fincas urbanas,2016,00000,03,51000.0,0.0,0.0,51000.0,115830.56,0.0,115830.56
56001,Intereses de depósitos,2016,00000,03,10000.0,0.0,0.0,10000.0,10398.29,0.0,10398.29
85301,De fuera del sector público local,2016,00000,03,0.0,0.0,0.0,0.0,170264.58,0.0,170264.58
87001,"Remanente de tesorería, para gastos generales",2016,00000,03,0.0,2407480.04,0.0,2407480.04,0.0,0.0,0.0
87002,"Remanente de tesorería, para gastos con financiación afectada",2016,00000,03,0.0,437188.36,0.0,437188.36,0.0,0.0,0.0
87003,Remanente adicionales,2016,00000,03,0.0,2531002.76,0.0,2531002.76,0.0,0.0,0.0
93101,Préstamos recibidos a largo plazo,2016,00000,03,2000000.0,0.0,0.0,2000000.0,0.0,0.0,0.0
93201,De dentro del sector público local,2016,00000,03,500000.0,0.0,0.0,500000.0,421282.52,0.0,421282.52
41001,Administración general,2016,92910,03,5500.0,0.0,0.0,5500.0,5725.0,0.0,5725.0
28201,"Impuesto s/construcciones, instalaciones y obras",2016,00000,04,240000.0,0.0,0.0,240000.0,668618.83,155797.32,512821.51
61202,Otros edificios y construcciones,2016,00000,04,700000.0,0.0,0.0,700000.0,0.0,0.0,0.0
65101,Aprovechamientos urbanísticos,2016,00000,04,2000.0,0.0,0.0,2000.0,9153.29,1356.07,7797.22
70101,Organismos autónomos,2016,00000,04,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0
71001,Administración general,2016,00000,04,180000.0,0.0,0.0,180000.0,42371.16,0.0,42371.16
71002,De la administracion general,2016,00000,04,279773.57,0.0,0.0,279773.57,236942.84,49743.84,187199.0
71003,De la comunidad autónoma del pais vasco,2016,00000,04,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0
71004,De la comunidad autónoma del pais vasco,2016,00000,04,0.0,0.0,0.0,0.0,23450.41,5950.41,17500.0
71401,Sociedades públicas y entidades públicas empresariales,2016,00000,04,19000.0,0.0,0.0,19000.0,13266.5,0.0,13266.5
71402,Eve alumbrado,2016,00000,04,0.0,0.0,0.0,0.0,11776.0,0.0,11776.0
71403,Sociedades publicas,2016,00000,04,0.0,0.0,0.0,0.0,746.0,0.0,746.0
72001,Plan foral de obras y servicios,2016,00000,04,2114064.39,0.0,0.0,2114064.39,0.0,0.0,0.0
72002,Del territorio histórico,2016,00000,04,0.0,0.0,0.0,0.0,906865.6,0.0,906865.6
79301,Otros fondos comunitarios,2016,00000,04,2600.0,0.0,0.0,2600.0,18207.3,0.0,18207.3
31101,Licencia de apertura de establecimientos,2016,15000,04,50200.0,0.0,0.0,50200.0,57997.12,18046.79,39950.33
31201,Otorgamiento de licencias urbanísticas,2016,15000,04,84000.0,0.0,0.0,84000.0,103901.4,6710.95,97190.45
31005,Recogida y retirada de vehículos de la vía pública,2016,15100,04,7500.0,0.0,0.0,7500.0,5057.12,0.0,5057.12
32102,Quioscos en la vía pública,2016,93300,04,110400.0,0.0,0.0,110400.0,111267.29,1418.14,109849.15
30001,Ventas,2016,00000,05,8000.0,0.0,0.0,8000.0,10416.58,0.0,10416.58
55101,Aprovechamientos agrícolas y forestales,2016,00000,05,60000.0,0.0,0.0,60000.0,939.94,227.47,712.47
70001,Administración general del estado,2016,00000,05,0.0,0.0,0.0,0.0,27704.04,0.0,27704.04
71001,Administración general,2016,00000,05,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0
71004,De la comunidad autónoma del pais vasco,2016,00000,05,30000.0,0.0,0.0,30000.0,8299.28,4149.64,4149.64
71005,De la comunidad autonoma del pais vasco,2016,00000,05,9000.0,0.0,0.0,9000.0,0.0,0.0,0.0
71101,Organismos autónomos,2016,00000,05,60000.0,0.0,0.0,60000.0,32419.0,0.0,32419.0
72001,Plan foral de obras y servicios,2016,00000,05,0.0,0.0,0.0,0.0,15293.04,0.0,15293.04
72002,Del territorio histórico,2016,00000,05,15000.0,0.0,0.0,15000.0,22757.11,10000.0,12757.11
72003,Del territorio histórico,2016,00000,05,0.0,0.0,0.0,0.0,12788.0,0.0,12788.0
72004,Del territorio histórico,2016,00000,05,0.0,0.0,0.0,0.0,7571.25,0.0,7571.25
72005,Del territorio histórico,2016,00000,05,0.0,0.0,0.0,0.0,5587.14,0.0,5587.14
72006,C,2016,00000,05,0.0,0.0,0.0,0.0,16053.72,0.0,16053.72
41001,Administración general,2016,17000,05,0.0,0.0,0.0,0.0,3353.5,0.0,3353.5
31014,Guarderías,2016,32000,06,28000.0,0.0,0.0,28000.0,32713.41,168.65,32544.76
