#Subconcepto eco.,Descripción,Año,Programa,Departamento,Pto inicial,Aumentos,Disminuciones,Pto definitivo,Oblig. recon.
64201,Planeamiento,2013,15100,04,0.0,0.0,0.0,0.0,0.0
62201,Edificios y otras construcciones,2013,33000,04,0.0,116841.03,0.0,116841.03,14534.53
64207,Planeamiento,2013,17000,05,0.0,10264.01,0.0,10264.01,10264.01
64204,Planeamiento,2013,17210,05,0.0,2904.0,0.0,2904.0,2904.0
48102,Subvenciones a asociaciones,2013,33400,08,0.0,0.0,0.0,0.0,0.0
48002,Proyectos extraordinarios para protección social,2013,32700,14,0.0,0.0,0.0,0.0,0.0
22698,Otros gastos diversos,2014,92030,02,0.0,0.0,0.0,0.0,0.0
60102,Infraestructura y urbanización,2014,13400,04,0.0,0.0,0.0,0.0,0.0
22001,Ordinario no inventariable,2014,15000,04,0.0,0.0,0.0,0.0,0.0
60103,Infraestructura y urbanizaciones,2014,15100,04,0.0,0.0,0.0,0.0,0.0
60104,Infraestructura y urbanizaciones,2014,15100,04,0.0,0.0,0.0,0.0,0.0
64201,Planeamiento,2014,15100,04,0.0,0.0,0.0,0.0,0.0
64202,Planeamiento,2014,15100,04,0.0,29826.5,0.0,29826.5,29826.5
64201,Planeamiento,2014,17100,04,0.0,0.0,0.0,0.0,0.0
40901,Otras entidades públicas,2014,24100,04,0.0,38460.0,0.0,38460.0,35874.0
62201,Edificios y otras construcciones,2014,24100,04,0.0,72555.94,0.0,72555.94,72551.92
62203,Edificios y otras construcciones,2014,34200,04,0.0,0.0,0.0,0.0,0.0
64201,Planeamiento,2014,43900,04,0.0,6292.0,0.0,6292.0,6292.0
64203,Planeamiento,2014,15310,05,0.0,0.0,0.0,0.0,0.0
64207,Planeamiento,2014,17000,05,0.0,1774.55,0.0,1774.55,19.55
22799,Otros trabajos exteriores,2014,32610,06,0.0,0.0,0.0,0.0,0.0
48103,Subvenciones a entidades y asociaciones,2014,23000,07,0.0,0.0,0.0,0.0,0.0
22799,Otros trabajos exteriores,2014,23110,07,0.0,0.0,0.0,0.0,0.0
