Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 112.01.000.00 2021,1.0,Ibi-rustica,,26000.0,26000.0,0.0,0.0,0.0,0.0
2 112.02.000.00 2021,2.0,Ibi-Urbana,,3879500.0,3879500.0,0.0,0.0,0.0,0.0
2 113.01.000.00 2021,3.0,Vehiculos,,1560500.0,1560500.0,1542526.9,0.0,1542526.9,0.0
2 114.01.000.00 2021,4.0,Plusvalias,,250000.0,250000.0,82439.04,0.0,82439.04,0.0
2 130.01.000.00 2021,5.0,Impo. Actividades Economicas,,1118500.0,1118500.0,623.59,0.0,623.59,0.0
2 282.01.000.00 2021,7.0,Impto Construcciones,,250000.0,250000.0,33514.35,-1000.0,34514.35,1000.0
2 310.01.162.10 2021,917.0,Recogida Tratamiento Residuos,,1484300.0,1484300.0,263600.89,0.0,263600.89,0.0
2 310.02.160.00 2021,918.0,Saneamiento,,665900.0,665900.0,258801.24,0.0,258801.24,0.0
2 310.03.164.00 2021,919.0,Cementerio,,45000.0,45000.0,5904.0,0.0,5904.0,0.0
2 310.04.000.00 2021,349.0,Documentos,,1000.0,1000.0,300.0,0.0,300.0,0.0
2 310.05.000.00 2021,203.0,Paso Vehiculos,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 310.08.136.00 2021,920.0,Incendios,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.09.161.00 2021,921.0,Suministro agua,,1452100.0,1452100.0,527741.32,0.0,527741.32,0.0
2 310.11.335.10 2021,922.0,Euskaltegia,,42000.0,42000.0,0.0,0.0,0.0,0.0
2 310.16.334.10 2021,923.0,Talleres Biteri,,52000.0,52000.0,0.0,0.0,0.0,0.0
2 310.20.326.01 2021,924.0,Musika Eskola,,105000.0,105000.0,0.0,0.0,0.0,0.0
2 310.21.326.02 2021,925.0,Kantuz,,7000.0,7000.0,0.0,0.0,0.0,0.0
2 310.22.335.40 2021,926.0,Udalekuak,,28000.0,28000.0,0.0,0.0,0.0,0.0
2 310.23.000.00 2021,260.0,Animales peligrosos,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.24.342.00 2021,927.0,Kiroldegia-Abonados,,360000.0,360000.0,54168.2,54168.2,0.0,57.6
2 310.25.342.00 2021,928.0,Kiroldegia-entradas,,1000.0,1000.0,182.35,182.35,0.0,0.0
2 310.26.342.00 2021,929.0,Cursos natacion,,53000.0,53000.0,4720.46,4720.46,0.0,10.7
2 310.27.342.00 2021,930.0,Sala squash,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.28.342.00 2021,931.0,Kiroldegia-otros cursos,,65000.0,65000.0,4415.6,4415.6,0.0,0.0
2 310.29.342.00 2021,932.0,Kiroldegia-Pista,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 310.30.342.00 2021,933.0,Kiroldegia-Fronton,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 310.32.342.00 2021,935.0,Kiroldegia-Sauna,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 310.35.342.01 2021,937.0,Piscina exterior-abonados,,55000.0,55000.0,0.0,0.0,0.0,0.0
2 310.36.342.01 2021,938.0,Piscina exterior-entradas,,36000.0,36000.0,0.0,0.0,0.0,0.0
2 310.37.342.00 2021,939.0,Kiroldegia-karnet,,1000.0,1000.0,70.35,70.35,0.0,0.0
2 311.01.000.00 2021,23.0,Licencia apertura,,20000.0,20000.0,0.0,0.0,0.0,0.0
2 311.02.000.00 2021,24.0,Autotaxi,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 312.01.000.00 2021,25.0,Licencias urbanisticas,,75000.0,75000.0,14245.8,0.0,14245.8,0.0
2 312.02.000.00 2021,26.0,Espediente Urbanismo,,100.0,100.0,0.0,0.0,0.0,0.0
2 312.03.000.00 2021,489.0,Actualizacion cartografia,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 321.03.000.00 2021,28.0,Ocupacion:andamios.,,27000.0,27000.0,3665.95,0.0,3665.95,0.0
2 321.04.000.00 2021,29.0,Ocupación: mesas,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 321.05.000.00 2021,30.0,Ocupacion: puestos,,1000.0,1000.0,360.0,0.0,360.0,0.0
2 321.09.000.00 2021,31.0,Ocupacion: empresas suministro,,651000.0,651000.0,136707.92,0.0,136707.92,0.0
2 321.10.000.00 2021,11.0,Ocupacion: feria,,37500.0,37500.0,0.0,0.0,0.0,0.0
2 321.11.000.00 2021,540.0,Tarjetas control entrada,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 321.13.000.00 2021,834.0,Ocupacion: cajeros,,2500.0,2500.0,0.0,0.0,0.0,0.0
2 321.99.000.00 2021,32.0,Otras tasas actividad,,15000.0,15000.0,0.0,0.0,0.0,0.0
2 322.01.000.00 2021,33.0,Entrada vehiculos,,35500.0,35500.0,0.0,0.0,0.0,0.0
2 340.02.334.00 2021,940.0,Entradas espectaculos,,5000.0,5000.0,1559.0,1559.0,0.0,0.0
2 340.03.323.30 2021,941.0,Comedor-Haur Eskola,,35200.0,35200.0,0.0,0.0,0.0,0.0
2 340.04.231.00 2021,942.0,Berdintasuna-Cursos,,1500.0,1500.0,0.0,0.0,0.0,0.0
2 380.01.000.00 2021,36.0,Ejercicios cerrados,,5000.0,5000.0,180.95,180.95,0.0,0.0
2 381.01.000.00 2021,596.0,Compensacion daños: pivote,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 382.01.000.00 2021,597.0,Compensacion daños: vias publicas,,1000.0,1000.0,0.0,0.0,0.0,0.0
