Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),B. betiko aurrek.,Eskubide onartu garbiak,Bilketa likidoa,Kobratzeko,Itzulketak
2 112.01.000.00 2019,1.0,O.H.G.Z.LANDA-ONDASUNAK,,24507.0,24507.0,24934.09,24283.36,650.73,0.0
2 112.02.000.00 2019,2.0,O.H.F.Z.HIRI-ONDASUNAK,,3828992.0,3828992.0,3840446.16,3790321.5,50124.66,11579.57
2 113.01.000.00 2019,3.0,TRAKZIO MEKANIKODUN IBILGAILUEN,,1548881.0,1548881.0,1539723.86,1454692.98,85030.88,17552.31
2 114.01.000.00 2019,4.0,HIRI-LURREN BALIO GEHIKUNTZAREN ZERGA,,250000.0,250000.0,302775.89,258147.04,44628.85,756.49
2 130.01.000.00 2019,5.0,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,,863000.0,863000.0,939287.84,902056.13,37231.71,1453.49
2 282.01.000.00 2019,7.0,ERAIKUNTZA-INSTALAZIO ZERGA-ICIO.,,2954445.0,2954445.0,415096.49,348759.66,66336.83,8979.17
2 310.01.162.10 2019,917.0,ONDAKINAK BILKETA ETA TRATAMENDUA,,1445506.0,1445506.0,1461036.15,1285740.59,175295.56,7466.85
2 310.02.160.00 2019,918.0,SANEAMENDU,,612186.0,612186.0,636628.12,629037.57,7590.55,1926.86
2 310.03.164.00 2019,919.0,UDAL HILERRIA,,37496.0,37496.0,38325.67,36749.17,1576.5,0.0
2 310.04.000.00 2019,349.0,AGIRIAK EGITEA,,1000.0,1000.0,1757.3,1757.3,0.0,0.0
2 310.05.000.00 2019,203.0,IBILGAILUAK BIDE PUBLIKOTIK JASO ETA KEN,,1000.0,1000.0,376.35,376.35,0.0,0.0
2 310.08.136.00 2019,920.0,SU-ITZALTZE,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.09.161.00 2019,921.0,UR HORNIDURA,,1354836.0,1354836.0,1403832.44,1381081.8,22750.64,6240.84
2 310.11.335.10 2019,922.0,UDAL EUSKALTEGIA,,51436.0,51436.0,56216.03,56216.03,0.0,0.0
2 310.16.334.10 2019,923.0,BITERIKO TAILERRAK,,61095.0,61095.0,66344.84,66344.84,0.0,0.0
2 310.20.326.01 2019,924.0,MUSIKA ESKOLA PUBLIKOA,,132046.0,132046.0,134969.8,134071.92,897.88,0.0
2 310.21.326.02 2019,925.0,KANTUZ,,6000.0,6000.0,8001.65,8001.65,0.0,0.0
2 310.22.335.40 2019,926.0,UDALEKUAK,,37500.0,37500.0,40798.04,40798.04,0.0,0.0
2 310.23.000.00 2019,260.0,ANIMALI ARRISKUTSUEN ERREJISTROA,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.24.342.00 2019,927.0,KIROLDEGIKO ABONATUAK,,512407.0,512407.0,605235.96,605235.96,0.0,153.31
2 310.25.342.00 2019,928.0,KIROLDEGIKO SARRERAK,,5000.0,5000.0,9545.33,9545.33,0.0,0.0
2 310.26.342.00 2019,929.0,KIROLDEGIKO IGERIKETA IKASTAROAK,,211783.0,211783.0,180435.47,180435.47,0.0,397.58
2 310.27.342.00 2019,930.0,KIROLDEGIKO SQUASH-AREN ERABILPENA,,100.0,100.0,15.0,15.0,0.0,0.0
2 310.28.342.00 2019,931.0,KIROLDEGIKO IKASTAROAK,,176167.0,176167.0,177380.63,177380.63,0.0,0.0
2 310.29.342.00 2019,932.0,KIROLDEG.PISTA ETA INSTALAZ.ERABILPENA,,5000.0,5000.0,1978.0,1978.0,0.0,0.0
2 310.30.342.00 2019,933.0,KIROLDEGIKO FRONTOIAREN ERABILPENA,,1000.0,1000.0,11.3,11.3,0.0,0.0
2 310.32.342.00 2019,935.0,KIROLDEGIKO SAUNAK,,5000.0,5000.0,4822.15,4822.15,0.0,0.0
2 310.35.342.01 2019,937.0,AISIALDI ETA JOLASER.IGERILEK.ABONATUAK,,110458.0,110458.0,108544.13,108544.13,0.0,523.65
2 310.36.342.01 2019,938.0,AISIALDI ETA JOLASER.IGERILEK.SARRERAK,,122612.0,122612.0,115066.37,115066.37,0.0,0.0
2 310.37.342.00 2019,939.0,KIROLDEGIKO KARNETA BERRIAK,,100.0,100.0,1120.5,1120.5,0.0,0.0
2 311.01.000.00 2019,23.0,ESTABLEZIMENDUAK IREKITZEKO BAIMENA,,20200.0,20200.0,14235.35,11841.88,2393.47,0.0
2 311.02.000.00 2019,24.0,AUTOTAXIEN LIZENTZIA,,100.0,100.0,123.6,123.6,0.0,0.0
2 312.01.000.00 2019,25.0,HIRIGINTZ BAIMENAK EMATEA,,61219.0,61219.0,87851.42,71125.93,16725.49,10664.11
2 312.02.000.00 2019,26.0,ESPEDIENTE URBANISTIKOEN BIDERATZEA,,100.0,100.0,0.0,0.0,0.0,0.0
2 312.03.000.00 2019,489.0,KARTOGRAFIA EGUNERATZEA,,5000.0,5000.0,3244.8,3244.8,0.0,0.0
2 321.03.000.00 2019,28.0,"HESIAK, ALDAMIOAK, EDUKIONTZIAK",,18158.0,18158.0,15767.07,15767.07,0.0,155.04
2 321.04.000.00 2019,29.0,MAHAI ETA ESERLEKUAK,,25295.0,25295.0,28530.56,28530.56,0.0,0.0
2 321.05.000.00 2019,30.0,"SALMENTA POSTUAK, BARRAKA, ETAB.",,10515.0,10515.0,11275.15,11079.1,196.05,0.0
2 321.09.000.00 2019,31.0,"LURZORUA,.HORNID-ZERB.ENPRESEN ALDE",,603085.0,603085.0,558588.84,487988.73,70600.11,0.0
2 321.10.000.00 2019,11.0,FERIA,,41353.0,41353.0,38960.8,36120.17,2840.63,0.0
2 321.11.000.00 2019,540.0,SARRERA KONTROLATZEKO TXARTELAK,,1000.0,1000.0,530.0,530.0,0.0,0.0
2 321.13.000.00 2019,834.0,KUTXAZAIN AUTOMATIKOAK,,2500.0,2500.0,2199.75,2199.75,0.0,0.0
2 321.99.000.00 2019,32.0,BESTE TASAK.JARDUERARENTZAT,,5000.0,5000.0,12441.18,12407.49,33.69,0.0
2 322.01.000.00 2019,33.0,IBILGAILUEN SARRERA ESPALOI GAINETIK,,33305.0,33305.0,34893.5,33847.2,1046.3,0.0
2 340.02.334.00 2019,940.0,IKUSKIZUNETARAKO SARRERAK,,16340.0,16340.0,18124.5,18124.5,0.0,0.0
2 340.03.323.30 2019,941.0,HAUR ESKOLAKO JANGELA,,49061.0,49061.0,52897.6,52897.6,0.0,0.0
2 340.04.231.00 2019,942.0,BERDINTASUNEKO IKASTAROAK,,1000.0,1000.0,2796.5,2796.5,0.0,0.0
2 380.01.000.00 2019,36.0,ITZULERAK:ITXITAKO AURREKONTUETAKOAK,,5000.0,5000.0,548.77,548.77,0.0,0.0
