Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2019,4245.0,SOLDATAK.GOBERNU ORGANOAK,211909.0,211909.0,0.0,137863.01,74045.99,137863.01,137863.01,137863.01,137863.01,2019,91200,,1,,01
1 01.110.01.132.00 2019,5608.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,48300.0,48300.0,0.0,43508.58,4791.42,43508.58,43508.58,43508.58,43508.58,2019,13200,,1,,01
1 01.110.01.912.00 2019,4246.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,30373.0,30373.0,0.0,24903.31,5469.69,24903.31,24903.31,24903.31,24903.31,2019,91200,,1,,01
1 01.120.01.132.00 2019,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,339585.0,339585.0,0.0,285967.67,53617.33,285967.67,285967.67,285967.67,285967.67,2019,13200,,1,,01
1 01.120.01.151.00 2019,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,145122.0,145122.0,0.0,104721.9,40400.1,104721.9,104721.9,104721.9,104721.9,2019,15100,,1,,01
1 01.120.01.153.40 2019,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,198414.0,198414.0,0.0,118116.83,80297.17,118116.83,118116.83,118116.83,118116.83,2019,15340,,1,,01
1 01.120.01.161.00 2019,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,42912.0,42912.0,0.0,43873.29,-961.29,43873.29,43873.29,43873.29,43873.29,2019,16100,,1,,01
1 01.120.01.164.00 2019,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,8897.0,8897.0,0.0,6648.31,2248.69,6648.31,6648.31,6648.31,6648.31,2019,16400,,1,,01
1 01.120.01.165.00 2019,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,13376.0,13376.0,0.0,12572.18,803.82,12572.18,12572.18,12572.18,12572.18,2019,16500,,1,,01
1 01.120.01.172.20 2019,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUME,20394.0,20394.0,0.0,17086.62,3307.38,17086.62,17086.62,17086.62,17086.62,2019,17220,,1,,01
1 01.120.01.231.00 2019,4257.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,43823.0,43823.0,0.0,38264.88,5558.12,38264.88,38264.88,38264.88,38264.88,2019,23100,,1,,01
1 01.120.01.231.01 2019,4256.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,925.0,925.0,0.0,2071.04,-1146.04,2071.04,2071.04,2071.04,2071.04,2019,23101,,1,,01
1 01.120.01.231.03 2019,4867.0,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,24406.0,24406.0,0.0,15471.37,8934.63,15471.37,15471.37,15471.37,15471.37,2019,23103,,1,,01
1 01.120.01.241.00 2019,4258.0,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,40130.0,40130.0,0.0,36951.74,3178.26,36951.74,36951.74,36951.74,36951.74,2019,24100,,1,,01
1 01.120.01.323.10 2019,4259.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,39735.0,39735.0,0.0,30895.26,8839.74,30895.26,30895.26,30895.26,30895.26,2019,32310,,1,,01
1 01.120.01.326.01 2019,4261.0,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,242596.0,242596.0,0.0,183602.63,58993.37,183602.63,183602.63,183602.63,183602.63,2019,32601,,1,,01
1 01.120.01.330.00 2019,4262.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,30267.0,30267.0,0.0,26520.81,3746.19,26520.81,26520.81,26520.81,26520.81,2019,33000,,1,,01
1 01.120.01.332.10 2019,4263.0,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,83776.0,83776.0,0.0,69483.31,14292.69,69483.31,69483.31,69483.31,69483.31,2019,33210,,1,,01
1 01.120.01.333.00 2019,4264.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,21093.0,21093.0,0.0,18540.66,2552.34,18540.66,18540.66,18540.66,18540.66,2019,33300,,1,,01
1 01.120.01.335.00 2019,4265.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,72733.0,72733.0,0.0,59050.16,13682.84,59050.16,59050.16,59050.16,59050.16,2019,33500,,1,,01
1 01.120.01.335.10 2019,4266.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,148290.0,148290.0,0.0,124447.54,23842.46,124447.54,124447.54,124447.54,124447.54,2019,33510,,1,,01
