#Urtea,Eko. azpikontzeptua,Deskribapena,Programa,Departamentua,Hasierako aurr.,Igoerak,Atxekipenak ,Behin bet aurr.,Onart. Oblig.
2013,64201,Planeamendua,15100,04,0.0,7250.69,0.0,7250.69,7250.69
2013,21201,"Makineria, instalazioak eta tresneria",16220,09,0.0,24534.25,0.0,24534.25,0.0
2013,64206,Planeamendua,17000,05,0.0,12577.95,0.0,12577.95,12577.95
2013,64207,Planeamendua,17000,05,0.0,21928.34,0.0,21928.34,8243.73
2013,64201,Planeamendua,17210,05,0.0,0.0,0.0,0.0,0.0
2013,64204,Planeamendua,17210,05,0.0,23097.28,0.0,23097.28,17854.09
2013,48002,Gizarte babeserako aparteko proiektuak,32700,14,0.0,27710.11,0.0,27710.11,8960.92
2013,62201,Eraikinak eta bestelako eraikuntzak,33000,04,0.0,145603.3,0.0,145603.3,28762.27
2013,22704,Kontratu soziokulturalak,33220,08,0.0,9998.78,0.0,9998.78,0.0
2013,48102,Dirulaguntzak: asoziazioei,33400,08,0.0,2662.89,0.0,2662.89,0.0
2013,48101,Entitate eta erakundeei diru-laguntzak,33510,10,0.0,0.0,0.0,0.0,0.0
2013,48104,Dirulaguntzak: instituzio eta entitateei,33510,10,0.0,7759.34,0.0,7759.34,0.0
2013,48108,Irabazizko xederik gabeko erakundeei,33510,10,0.0,3600.0,0.0,3600.0,3600.0
2013,42102,Mankomunitate eta kontsortzioei,43300,02,0.0,10235.3,0.0,10235.3,0.0
2013,47303,Bestelako enpreseei,44110,12,0.0,0.0,0.0,0.0,0.0
2014,20101,Eraikinak eta bestelako eraikuntzak,13000,12,0.0,981.75,0.0,981.75,411.06
2014,22105,Arropak,13000,12,0.0,5919.28,0.0,5919.28,5919.28
2014,22799,Kanpoko bestelako lanak,13310,12,0.0,14092.74,0.0,14092.74,14092.74
2014,22799,Kanpoko bestelako lanak,13320,12,0.0,6402.46,0.0,6402.46,6402.46
2014,62201,Eraikinak eta bestelako eraikuntzak,13330,12,0.0,2685.42,0.0,2685.42,0.0
2014,60102,Azpiegitura eta urbanizazioak,13400,04,0.0,80600.0,0.0,80600.0,75683.76
2014,60103,Azpiegitura eta urbanizazioak,13400,04,0.0,170822.83,0.0,170822.83,168366.4
2014,22001,Material arrunt ez-inbentariagarria,15000,04,0.0,536.84,0.0,536.84,536.84
2014,23001,"Pertsonalaren dietak, garraioa eta lekualdaketa",15000,04,0.0,758.66,0.0,758.66,758.66
2014,21001,Azpiegitura eta ondasun naturalak,15000,09,0.0,12336.57,0.0,12336.57,12321.1
2014,22704,Kontratu soziokulturalak,15000,09,0.0,14899.18,0.0,14899.18,14878.24
2014,62401,Garraio-materiala,15000,09,0.0,264341.75,0.0,264341.75,223639.47
2014,60101,Azpiegitura eta urbanizazioa,15100,04,0.0,78700.0,0.0,78700.0,78700.0
2014,60102,Azpiegitura eta urbanizazioak,15100,04,0.0,30000.0,0.0,30000.0,29107.55
2014,60103,Azpiegitura eta urbanizazioak,15100,04,0.0,25000.0,0.0,25000.0,0.0
2014,60104,Azpiegitura eta urbanizazioak,15100,04,0.0,206300.0,0.0,206300.0,0.0
