Partida,Código interno,Descripción,Año,Ppto. Inicial,Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 112.01.000.00 2019,1.0,Ibi-rustica,,24507.0,24507.0,24934.09,24283.36,650.73,0.0
2 112.02.000.00 2019,2.0,Ibi-Urbana,,3828992.0,3828992.0,3840446.16,3790321.5,50124.66,11579.57
2 113.01.000.00 2019,3.0,Vehiculos,,1548881.0,1548881.0,1539723.86,1454692.98,85030.88,17552.31
2 114.01.000.00 2019,4.0,Plusvalias,,250000.0,250000.0,302775.89,258147.04,44628.85,756.49
2 130.01.000.00 2019,5.0,Impo. Actividades Economicas,,863000.0,863000.0,939287.84,902056.13,37231.71,1453.49
2 282.01.000.00 2019,7.0,Impto Construcciones,,2954445.0,2954445.0,415096.49,348759.66,66336.83,8979.17
2 321.10.000.00 2019,11.0,Ocupacion: feria,,41353.0,41353.0,38960.8,36120.17,2840.63,0.0
2 311.01.000.00 2019,23.0,Licencia apertura,,20200.0,20200.0,14235.35,11841.88,2393.47,0.0
2 311.02.000.00 2019,24.0,Autotaxi,,100.0,100.0,123.6,123.6,0.0,0.0
2 312.01.000.00 2019,25.0,Licencias urbanisticas,,61219.0,61219.0,87851.42,71125.93,16725.49,10664.11
2 312.02.000.00 2019,26.0,Espediente Urbanismo,,100.0,100.0,0.0,0.0,0.0,0.0
2 321.03.000.00 2019,28.0,Ocupacion:andamios.,,18158.0,18158.0,15767.07,15767.07,0.0,155.04
2 321.04.000.00 2019,29.0,Ocupación: mesas,,25295.0,25295.0,28530.56,28530.56,0.0,0.0
2 321.05.000.00 2019,30.0,Ocupacion: puestos,,10515.0,10515.0,11275.15,11079.1,196.05,0.0
2 321.09.000.00 2019,31.0,Ocupacion: empresas suministro,,603085.0,603085.0,558588.84,487988.73,70600.11,0.0
2 321.99.000.00 2019,32.0,Otras tasas actividad,,5000.0,5000.0,12441.18,12407.49,33.69,0.0
2 322.01.000.00 2019,33.0,Entrada vehiculos,,33305.0,33305.0,34893.5,33847.2,1046.3,0.0
2 380.01.000.00 2019,36.0,Ejercicios cerrados,,5000.0,5000.0,548.77,548.77,0.0,0.0
2 391.01.000.00 2019,37.0,Multas trafico,,115391.0,115391.0,130956.64,82303.11,48653.53,1555.69
2 391.02.000.00 2019,38.0,Sanciones urbanismo,,100.0,100.0,0.0,0.0,0.0,0.0
2 392.01.000.00 2019,39.0,Recargo apremio,,62842.0,62842.0,53537.16,53537.16,0.0,1715.88
2 393.01.000.00 2019,40.0,Intereses demora,,9995.0,9995.0,12363.46,12363.46,0.0,89.15
2 396.01.000.00 2019,41.0,Compensacion: Telefonica,,51868.0,51868.0,51930.15,51930.15,0.0,0.0
2 399.01.000.00 2019,42.0,otros ingresos,,1000.0,1000.0,47201.89,47201.89,0.0,318.0
2 399.02.000.00 2019,43.0,Fotocopias,,100.0,100.0,89.15,89.15,0.0,0.0
2 399.06.000.00 2019,45.0,Artxibo: publicaciones,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 400.01.000.00 2019,47.0,Impto. no concertados,,23250.0,23250.0,25010.07,24978.36,31.71,0.0
2 420.01.000.00 2019,55.0,Impuestos concertados-Fondo foral,,14008965.0,14008965.0,14323112.83,14008964.99,314147.84,0.0
2 399.03.000.00 2019,59.0,Anuncios-Particulares,,1000.0,1000.0,1142.0,1069.28,72.72,0.0
2 560.01.000.00 2019,61.0,Intereses depositos,,6000.0,6000.0,10030.72,10030.72,0.0,0.0
2 550.01.000.00 2019,64.0,Canon Garajes.Atsegindegi,,7500.0,7500.0,7814.39,7814.39,0.0,0.0
2 823.01.000.00 2019,65.0,Anticipos personal,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 396.02.000.00 2019,120.0,Compensacion: Euskaltel,,22772.0,22772.0,16933.24,16933.24,0.0,5794.32
2 310.05.000.00 2019,203.0,Paso Vehiculos,,1000.0,1000.0,376.35,376.35,0.0,0.0
2 310.23.000.00 2019,260.0,Animales peligrosos,,100.0,100.0,0.0,0.0,0.0,0.0
