#Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 01.100.01.912.00 2019,4245.0,Cargos Públicos,211909.0,211909.0,0.0,0.0,211909.0,0.0,0.0,0.0,0.0,2019,91200,,1,,01
1 01.110.01.132.00 2019,5608.0,Personal Eventual,48300.0,48300.0,0.0,0.0,48300.0,0.0,0.0,0.0,0.0,2019,13200,,1,,01
1 01.110.01.912.00 2019,4246.0,Personal Eventual,30373.0,30373.0,0.0,0.0,30373.0,0.0,0.0,0.0,0.0,2019,91200,,1,,01
1 01.120.01.132.00 2019,4247.0,Retribucion básica.,339585.0,339585.0,0.0,0.0,339585.0,0.0,0.0,0.0,0.0,2019,13200,,1,,01
1 01.120.01.151.00 2019,4248.0,Retribucion básica.,145122.0,145122.0,0.0,0.0,145122.0,0.0,0.0,0.0,0.0,2019,15100,,1,,01
1 01.120.01.153.40 2019,4249.0,Retribucion básica.,198414.0,198414.0,0.0,0.0,198414.0,0.0,0.0,0.0,0.0,2019,15340,,1,,01
1 01.120.01.161.00 2019,4251.0,Retribucion básica.,42912.0,42912.0,0.0,0.0,42912.0,0.0,0.0,0.0,0.0,2019,16100,,1,,01
1 01.120.01.164.00 2019,4252.0,Retribucion básica.,8897.0,8897.0,0.0,0.0,8897.0,0.0,0.0,0.0,0.0,2019,16400,,1,,01
1 01.120.01.165.00 2019,4253.0,Retribucion básica.,13376.0,13376.0,0.0,0.0,13376.0,0.0,0.0,0.0,0.0,2019,16500,,1,,01
1 01.120.01.172.20 2019,4254.0,Retribucion básica.,20394.0,20394.0,0.0,0.0,20394.0,0.0,0.0,0.0,0.0,2019,17220,,1,,01
1 01.120.01.231.00 2019,4257.0,Retribucion básica.,43823.0,43823.0,0.0,0.0,43823.0,0.0,0.0,0.0,0.0,2019,23100,,1,,01
1 01.120.01.231.01 2019,4256.0,Retribucion básica.,925.0,925.0,0.0,0.0,925.0,0.0,0.0,0.0,0.0,2019,23101,,1,,01
1 01.120.01.231.03 2019,4867.0,Retribucion básica.,24406.0,24406.0,0.0,0.0,24406.0,0.0,0.0,0.0,0.0,2019,23103,,1,,01
1 01.120.01.241.00 2019,4258.0,Retribucion básica.,40130.0,40130.0,0.0,0.0,40130.0,0.0,0.0,0.0,0.0,2019,24100,,1,,01
1 01.120.01.323.10 2019,4259.0,Retribucion básica.,39735.0,39735.0,0.0,0.0,39735.0,0.0,0.0,0.0,0.0,2019,32310,,1,,01
1 01.120.01.326.01 2019,4261.0,Retribucion básica.,242596.0,242596.0,0.0,0.0,242596.0,0.0,0.0,0.0,0.0,2019,32601,,1,,01
1 01.120.01.330.00 2019,4262.0,Retribucion básica.,30267.0,30267.0,0.0,0.0,30267.0,0.0,0.0,0.0,0.0,2019,33000,,1,,01
1 01.120.01.332.10 2019,4263.0,Retribucion básica.,83776.0,83776.0,0.0,0.0,83776.0,0.0,0.0,0.0,0.0,2019,33210,,1,,01
1 01.120.01.333.00 2019,4264.0,Retribucion básica.,21093.0,21093.0,0.0,0.0,21093.0,0.0,0.0,0.0,0.0,2019,33300,,1,,01
1 01.120.01.335.00 2019,4265.0,Retribucion básica.,72733.0,72733.0,0.0,0.0,72733.0,0.0,0.0,0.0,0.0,2019,33500,,1,,01
1 01.120.01.335.10 2019,4266.0,Retribucion básica.,148290.0,148290.0,0.0,0.0,148290.0,0.0,0.0,0.0,0.0,2019,33510,,1,,01
1 01.120.01.335.30 2019,4267.0,Retribucion básica.,19554.0,19554.0,0.0,0.0,19554.0,0.0,0.0,0.0,0.0,2019,33530,,1,,01
1 01.120.01.335.40 2019,5609.0,Retribucion básica.,45511.0,45511.0,0.0,0.0,45511.0,0.0,0.0,0.0,0.0,2019,33540,,1,,01
1 01.120.01.342.00 2019,4269.0,Retribucion básica.,200137.0,200137.0,0.0,0.0,200137.0,0.0,0.0,0.0,0.0,2019,34200,,1,,01
1 01.120.01.342.01 2019,4270.0,Retribucion básica.,4538.0,4538.0,0.0,0.0,4538.0,0.0,0.0,0.0,0.0,2019,34201,,1,,01
1 01.120.01.414.00 2019,4271.0,Retribucion básica.,8708.0,8708.0,0.0,0.0,8708.0,0.0,0.0,0.0,0.0,2019,41400,,1,,01
1 01.120.01.432.00 2019,4272.0,Retribucion básica.,18852.0,18852.0,0.0,0.0,18852.0,0.0,0.0,0.0,0.0,2019,43200,,1,,01
1 01.120.01.920.00 2019,4273.0,Retribucion básica.,176323.0,176323.0,0.0,0.0,176323.0,0.0,0.0,0.0,0.0,2019,92000,,1,,01
1 01.120.01.920.10 2019,4274.0,Retribucion básica.,49794.0,49794.0,0.0,0.0,49794.0,0.0,0.0,0.0,0.0,2019,92010,,1,,01
1 01.120.01.920.11 2019,4275.0,Retribucion básica.,20257.0,20257.0,0.0,0.0,20257.0,0.0,0.0,0.0,0.0,2019,92011,,1,,01
1 01.120.01.920.20 2019,4276.0,Retribucion básica.,31357.0,31357.0,0.0,0.0,31357.0,0.0,0.0,0.0,0.0,2019,92020,,1,,01
1 01.120.01.920.30 2019,4277.0,Retribucion básica.,19538.0,19538.0,0.0,0.0,19538.0,0.0,0.0,0.0,0.0,2019,92030,,1,,01
