Partida,Código interno,Descripción,Año,Pto inicial,Oblig. recon.
1 02.227.99.920.00 2015 (5705),5705,HAINB.KONTRATU ADMIN.OROKORRA,2015,0.0,0.0
1 02.601.01.151.10 2015 (5726),5726,PUENTE ELORRABI,2015,0.0,123569.71
1 02.601.02.151.10 2015 (5729),5729,URBANIZAZIO EJEKUZIO DIFERITUAK-2015,2015,0.0,0.0
1 02.601.11.151.10 2015 (5733),5733,AZPIEGITURAK ETA URBANIZAZIOAK,2015,0.0,673125.17
1 05.609.02.151.10 2015 (5769),5769,ANTZIOLABERRI,2015,0.0,8245.0
1 02.226.04.920.00 2016 (5672),5672,GASTU JURIDIKOAK:ADMIN.OROKORRA,2016,0.0,0.0
1 02.226.97.231.00 2016 (5680),5680,BESTE PROGR.BERDINTASUNA,2016,0.0,3600.0
1 02.226.99.924.00 2016 (5693),5693,PARTEHARTZE EKIMENAK,2016,0.0,0.0
1 02.227.07.172.20 2016 (5695),5695,AZTERKETAK:INGURUGIROA,2016,0.0,14648.26
1 02.480.01.151.10 2016 (5709),5709,SUBV.REHABILITACION VIVIENDAS,2016,0.0,4773.31
1 02.481.02.231.01 2016 (5715),5715,TRANSFERENTZIA: HIRUGARREN MUNDUA,2016,0.0,20917.06
1 02.481.02.335.00 2016 (5723),5723,DIRULAG.:EUSKARA (ZUZENAK),2016,0.0,0.0
1 02.601.02.151.10 2016 (5730),5730,LANDARE POLIGONO BIDEA,2016,0.0,1452.0
1 02.622.01.342.00 2016 (5736),5736,KIROLDEGIA BIRGAITZEA,2016,0.0,16621.58
1 02.625.99.342.00 2016 (5742),5742,EKIPAMENDUA: KIROLDEGIA,2016,0.0,3244.01
1 02.643.01.151.10 2016 (5744),5744,PROIEKTUAK: HIRIGINTZA,2016,0.0,3025.0
1 05.623.02.161.00 2016 (5779),5779,INSTALAZIOAK: UR HORNIDURA,2016,0.0,5310.42
1 09.623.02.342.03 2016 (5805),5805,HERABAKI-17- MEJORAS EN LANDARE,2016,0.0,42139.0
1 02.211.01.342.00 2017 (5662),5662,MANTEN:KIROLDEGIA,2017,0.0,5760.57
1 02.211.01.342.01 2017 (5663),5663,Mantenimiento,2017,0.0,4507.25
1 02.213.01.132.00 2017 (5665),5665,MANT.IBILG:UDALTZAINGOA,2017,0.0,3947.11
1 02.221.14.342.00 2017 (5667),5667,KIROL MATERIALA,2017,0.0,2464.63
1 02.226.03.341.00 2017 (5669),5669,PUBLIZITATEA KIROL SAILA,2017,0.0,0.0
1 02.226.06.323.00 2017 (5673),5673,KULTUR EKINTZAK:IKASTETXEAK,2017,0.0,2466.88
1 02.226.06.334.00 2017 (5675),5675,KULTUR EKINTZAK,2017,0.0,22681.71
1 02.226.06.335.00 2017 (5676),5676,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,2017,0.0,186.98
1 02.226.06.342.00 2017 (5677),5677,EKINTZAK: KIROL JOLASGARRIAK,2017,0.0,2683.15
1 02.226.95.231.00 2017 (5678),5678,HEZKIDETZA PROGR.BERDINTASUNA,2017,0.0,7542.5
1 02.226.96.231.02 2017 (5679),5679,H.GASTU:INMIGRAZIOA,2017,0.0,1800.0
