#a,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2018,4245.0,SOLDATAK.GOBERNU ORGANOAK,171514.0,171514.0,0.0,129661.97,41852.03,129661.97,129661.97,129661.97,129661.97,2018,91200,,1,,01
1 01.110.01.132.00 2018,5608.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,47469.0,47469.0,0.0,37297.26,10171.74,37297.26,37297.26,37297.26,37297.26,2018,13200,,1,,01
1 01.110.01.912.00 2018,4246.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,29851.0,29851.0,0.0,23877.23,5973.77,23877.23,23877.23,23877.23,23877.23,2018,91200,,1,,01
1 01.120.01.132.00 2018,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,323454.0,323454.0,0.0,258969.93,64484.07,258969.93,258969.93,258969.93,258969.93,2018,13200,,1,,01
1 01.120.01.151.00 2018,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,132336.0,132336.0,0.0,100162.52,32173.48,100162.52,100162.52,100162.52,100162.52,2018,15100,,1,,01
1 01.120.01.153.40 2018,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,183581.0,183581.0,0.0,122712.35,60868.65,122712.35,122712.35,122712.35,122712.35,2018,15340,,1,,01
1 01.120.01.161.00 2018,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,62744.0,62744.0,0.0,27656.12,35087.88,27656.12,27656.12,27656.12,27656.12,2018,16100,,1,,01
1 01.120.01.164.00 2018,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,8744.0,8744.0,0.0,6620.34,2123.66,6620.34,6620.34,6620.34,6620.34,2018,16400,,1,,01
1 01.120.01.165.00 2018,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,9068.0,9068.0,0.0,16893.94,-7825.94,16893.94,16893.94,16893.94,16893.94,2018,16500,,1,,01
1 01.120.01.172.20 2018,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUGI,38571.0,38571.0,0.0,28988.59,9582.41,28988.59,28988.59,28988.59,28988.59,2018,17220,,1,,01
1 01.120.01.231.00 2018,4257.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,43069.0,43069.0,0.0,40715.77,2353.23,40715.77,40715.77,40715.77,40715.77,2018,23100,,1,,01
1 01.120.01.231.01 2018,4256.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,909.0,909.0,0.0,0.0,909.0,0.0,0.0,0.0,0.0,2018,23101,,1,,01
1 01.120.01.231.03 2018,4867.0,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,13696.0,13696.0,0.0,8641.72,5054.28,8641.72,8641.72,8641.72,8641.72,2018,23103,,1,,01
1 01.120.01.241.00 2018,4258.0,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,34295.0,34295.0,0.0,23137.15,11157.85,23137.15,23137.15,23137.15,23137.15,2018,24100,,1,,01
1 01.120.01.323.10 2018,4259.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,39052.0,39052.0,0.0,33343.24,5708.76,33343.24,33343.24,33343.24,33343.24,2018,32310,,1,,01
1 01.120.01.326.01 2018,4261.0,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,229496.0,229496.0,0.0,182233.94,47262.06,182233.94,182233.94,182233.94,182233.94,2018,32601,,1,,01
1 01.120.01.330.00 2018,4262.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,29746.0,29746.0,0.0,23345.77,6400.23,23345.77,23345.77,23345.77,23345.77,2018,33000,,1,,01
1 01.120.01.332.10 2018,4263.0,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,82335.0,82335.0,0.0,69118.72,13216.28,69118.72,69118.72,69118.72,69118.72,2018,33210,,1,,01
1 01.120.01.333.00 2018,4264.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,20730.0,20730.0,0.0,17675.44,3054.56,17675.44,17675.44,17675.44,17675.44,2018,33300,,1,,01
1 01.120.01.335.00 2018,4265.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,71482.0,71482.0,0.0,56359.92,15122.08,56359.92,56359.92,56359.92,56359.92,2018,33500,,1,,01
1 01.120.01.335.10 2018,4266.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,150260.0,150260.0,0.0,118353.18,31906.82,118353.18,118353.18,118353.18,118353.18,2018,33510,,1,,01
1 01.120.01.335.30 2018,4267.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,19218.0,19218.0,0.0,15100.14,4117.86,15100.14,15100.14,15100.14,15100.14,2018,33530,,1,,01
1 01.120.01.335.40 2018,5609.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,12170.0,12170.0,0.0,44728.21,-32558.21,44728.21,44728.21,44728.21,44728.21,2018,33540,,1,,01
1 01.120.01.342.00 2018,4269.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KIROLDEG,204353.0,204353.0,0.0,145418.7,58934.3,145418.7,145418.7,145418.7,145418.7,2018,34200,,1,,01
1 01.120.01.342.01 2018,4270.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IGERILEKU,4460.0,4460.0,0.0,3633.64,826.36,3633.64,3633.64,3633.64,3633.64,2018,34201,,1,,01
1 01.120.01.414.00 2018,4271.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INGURUNEA,8558.0,8558.0,0.0,8471.04,86.96,8471.04,8471.04,8471.04,8471.04,2018,41400,,1,,01
1 01.120.01.432.00 2018,4272.0,FUNTZIONARIOA.SOLDATA.OINARRIA.TURISMOA,18528.0,18528.0,0.0,14557.73,3970.27,14557.73,14557.73,14557.73,14557.73,2018,43200,,1,,01
1 01.120.01.920.00 2018,4273.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,136871.0,136871.0,0.0,109786.45,27084.55,109786.45,109786.45,109786.45,109786.45,2018,92000,,1,,01
1 01.120.01.920.10 2018,4274.0,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,48938.0,48938.0,0.0,37249.1,11688.9,37249.1,37249.1,37249.1,37249.1,2018,92010,,1,,01
1 01.120.01.920.11 2018,4275.0,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,19909.0,19909.0,0.0,15824.11,4084.89,15824.11,15824.11,15824.11,15824.11,2018,92011,,1,,01
1 01.120.01.920.20 2018,4276.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,30818.0,30818.0,0.0,23544.22,7273.78,23544.22,23544.22,23544.22,23544.22,2018,92020,,1,,01
1 01.120.01.920.30 2018,4277.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,19202.0,19202.0,0.0,15087.6,4114.4,15087.6,15087.6,15087.6,15087.6,2018,92030,,1,,01
1 01.120.01.929.10 2018,4278.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,6401.0,6401.0,0.0,3611.8,2789.2,3611.8,3611.8,3611.8,3611.8,2018,92910,,1,,01
1 01.120.01.931.00 2018,4279.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,117415.0,117415.0,0.0,90187.51,27227.49,90187.51,90187.51,90187.51,90187.51,2018,93100,,1,,01
1 01.120.01.932.00 2018,4280.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,69331.0,69331.0,0.0,50509.8,18821.2,50509.8,50509.8,50509.8,50509.8,2018,93200,,1,,01
1 01.120.01.933.00 2018,4281.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,45178.0,45178.0,0.0,30556.54,14621.46,30556.54,30556.54,30556.54,30556.54,2018,93300,,1,,01
1 01.121.06.920.10 2018,4282.0,LANGILEEN ORDEZKAPENETARAKO POLTSA,47789.0,47789.0,0.0,0.0,47789.0,0.0,0.0,0.0,0.0,2018,92010,,1,,01
1 01.121.99.132.00 2018,4283.0,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,707134.0,707134.0,0.0,612025.39,95108.61,612025.39,612025.39,612025.39,612025.39,2018,13200,,1,,01
1 01.121.99.151.00 2018,4284.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,204894.0,204894.0,0.0,155434.52,49459.48,155434.52,155434.52,155434.52,155434.52,2018,15100,,1,,01
1 01.121.99.153.40 2018,4285.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,344544.0,344544.0,0.0,259473.22,85070.78,259473.22,259473.22,259473.22,259473.22,2018,15340,,1,,01
1 01.121.99.161.00 2018,4287.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,119523.0,119523.0,0.0,86323.08,33199.92,86323.08,86323.08,86323.08,86323.08,2018,16100,,1,,01
1 01.121.99.164.00 2018,4288.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,20678.0,20678.0,0.0,13919.52,6758.48,13919.52,13919.52,13919.52,13919.52,2018,16400,,1,,01
